6/10/2025,202.6700,204.4667,1.796700,0.06574,stable
6/10/2025,202.6700,201.4843,1.185669,0.06574,stable
6/10/2025,202.6700,197.6915,4.978487,0.06574,stable
6/10/2025,202.6700,197.6915,4.978487,0.06574,stable
6/10/2025,202.6700,197.6915,4.978487,0.06574,stable
6/10/2025,202.6700,204.2586,1.588636,0.06574,stable
6/10/2025,202.6700,205.3245,2.654478,0.06574,stable
6/10/2025,202.6700,204.4471,1.777075,0.06574,stable
6/10/2025,202.6700,202.4658,0.204187,0.06574,stable
6/10/2025,202.6700,200.8449,1.825101,0.06574,stable
6/10/2025,202.6700,200.5656,2.104372,0.06574,stable
6/11/2025,198.7800,201.9397,3.159686,0.07639,stable
6/12/2025,199.2000,199.9556,0.755583,0.07693,stable
6/12/2025,199.2000,198.5484,0.651645,0.07693,stable
6/12/2025,199.2000,197.6899,1.510128,0.07693,stable
6/12/2025,199.2000,197.8230,1.377019,0.07693,stable
6/12/2025,199.2000,198.7708,0.429244,0.07693,stable
6/12/2025,199.2000,199.8944,0.694369,0.07693,stable
6/12/2025,199.2000,200.4806,1.280622,0.07693,stable
6/13/2025,196.4500,198.7367,2.286701,0.07919,stable
6/13/2025,196.4500,197.1056,0.655643,0.07919,stable
6/16/2025,198.4200,193.0928,5.327238,0.07931,stable
6/16/2025,198.4200,194.4630,3.956973,0.07931,stable
6/17/2025,195.6400,197.3450,1.704965,0.08239,stable
6/18/2025,196.5800,198.3567,1.776684,0.08426,stable
6/18/2025,196.5800,199.2548,2.674843,0.08426,stable
6/18/2025,196.5800,198.4116,1.831607,0.08426,stable
6/20/2025,201.0000,195.8590,5.140969,0.08387,stable
6/23/2025,201.5000,198.3086,3.191359,0.08501,stable
6/26/2025,201.0000,205.1620,4.162007,0.08697,stable
6/27/2025,201.0800,205.2723,4.192285,0.08670,stable
6/27/2025,201.0800,202.8074,1.727361,0.08670,stable
