Date,Predicted_Scaled,Predicted_Close
6/7/2025,0.61528,204.1360534644127
6/9/2025,0.58353,199.6062465000153
6/10/2025,0.57011,197.69151324033737
6/11/2025,0.61057,203.46324637651443
6/12/2025,0.5991,201.82704389095304
6/13/2025,0.56616,197.1288735938072
6/16/2025,0.55048,194.89095076084138
6/17/2025,0.54309,193.83776158571243
6/18/2025,0.57477,198.35668445587157
6/19/2025,0.57587,198.51414668798446
6/20/2025,0.57006,197.68407294154167
6/22/2025,0.57443,198.3086328804493
6/24/2025,0.60905,203.2473586666584
6/27/2025,0.62325,205.27228487730028
6/28/2025,0.60429,202.56733236312866
6/30/2025,0.58192,199.37694924592972
